id,date_in,date_out,total_nights,total_price,createdat,updatedat,guestId,roomsId
1053,2023-03-30,2023-04-14,15,4350,2018-07-23,2018-10-21,331,333
1054,2021-01-28,2021-02-10,13,5460,2018-09-06,2018-11-21,49,130
1055,2018-03-28,2018-04-01,4,752,2018-08-05,2018-04-28,93,335
1056,2022-03-28,2022-04-02,5,1690,2018-03-09,2019-02-15,97,347
1057,2020-12-04,2020-12-13,9,1611,2018-06-19,2018-11-04,118,210
1058,2020-07-26,2020-08-10,15,6015,2018-08-14,2018-07-25,90,197
1059,2023-06-10,2023-06-23,13,1625,2018-05-21,2018-07-07,98,222
1060,2024-01-31,2024-02-09,9,1053,2018-10-04,2018-06-05,227,185
1061,2023-11-04,2023-11-18,14,4844,2018-08-19,2018-06-18,315,362
1062,2023-05-22,2023-06-02,11,3828,2018-03-26,2018-12-31,79,232
1063,2023-06-07,2023-06-20,13,4836,2019-01-06,2018-10-24,152,245
1064,2024-02-23,2024-03-08,14,4928,2018-06-22,2018-12-27,76,346
1065,2018-10-10,2018-10-25,15,3360,2018-09-13,2018-12-20,357,230
1066,2021-10-12,2021-10-20,8,2088,2018-11-17,2018-11-14,146,360
1067,2022-02-02,2022-02-13,11,3905,2018-10-19,2018-08-20,204,259
1068,2019-10-23,2019-11-01,9,2943,2018-07-20,2018-05-20,56,361
1069,2019-06-07,2019-06-13,6,1380,2018-07-01,2018-04-07,335,292
1070,2023-04-29,2023-05-07,8,2968,2018-08-26,2018-11-30,61,109
1071,2020-04-04,2020-04-18,14,3514,2018-06-02,2018-03-15,201,213
1072,2022-10-04,2022-10-13,9,3456,2018-10-19,2018-03-15,4,200
1073,2022-08-12,2022-08-14,2,764,2019-01-12,2018-07-18,390,158
1074,2018-08-16,2018-08-24,8,936,2018-03-27,2019-01-28,318,185
1075,2018-10-20,2018-10-29,9,1476,2018-04-15,2019-01-29,330,385
1076,2020-07-30,2020-08-01,2,742,2018-06-06,2018-09-07,370,272
1077,2023-04-18,2023-04-21,3,1203,2018-12-05,2018-11-12,201,197
1078,2021-01-19,2021-01-21,2,286,2018-10-03,2018-12-07,143,280
1079,2019-10-14,2019-10-26,12,3636,2018-12-02,2018-04-20,378,202
1080,2023-01-20,2023-01-27,7,1351,2018-10-17,2018-03-12,318,147
1081,2023-08-01,2023-08-04,3,633,2019-01-09,2018-04-13,219,181
1082,2022-11-15,2022-11-19,4,1776,2018-07-07,2018-11-10,155,303
1083,2024-02-03,2024-02-07,4,1152,2018-04-08,2018-04-26,181,368
1084,2024-11-27,2024-11-29,2,776,2018-11-27,2019-03-04,258,318
1085,2019-03-27,2019-03-29,2,420,2018-05-24,2019-01-22,22,172
1086,2023-09-08,2023-09-16,8,2512,2018-06-15,2018-08-15,148,235
1087,2021-11-17,2021-11-20,3,759,2019-02-21,2018-06-25,162,121
1088,2023-07-17,2023-07-29,12,1584,2018-04-29,2019-01-15,9,274
1089,2023-11-09,2023-11-20,11,1958,2018-09-23,2018-07-18,208,171
1090,2019-09-19,2019-10-01,12,2760,2018-07-10,2018-08-08,301,292
1091,2019-10-23,2019-10-30,7,3038,2018-09-05,2019-01-20,373,294
1092,2019-09-25,2019-10-05,10,1180,2019-01-06,2019-01-14,193,140
1093,2022-04-27,2022-04-30,3,480,2018-05-26,2018-07-06,208,244
1094,2020-06-16,2020-06-19,3,558,2018-09-22,2018-05-15,325,339
1095,2019-09-02,2019-09-17,15,2265,2018-04-22,2018-09-05,330,334
1096,2019-03-20,2019-03-27,7,1316,2019-02-02,2018-04-02,49,335
1097,2024-02-11,2024-02-15,4,1488,2018-09-28,2019-01-15,102,245
1098,2020-10-08,2020-10-18,10,1110,2018-11-23,2018-07-21,78,359
1099,2020-11-14,2020-11-26,12,3204,2018-04-17,2019-02-19,194,293
1100,2018-03-13,2018-03-21,8,2352,2019-01-17,2018-05-14,256,273
1101,2024-05-19,2024-06-03,15,7350,2018-08-07,2018-03-09,139,162
1102,2020-10-11,2020-10-25,14,4088,2018-06-05,2018-04-28,98,142
1103,2018-10-10,2018-10-13,3,417,2018-09-15,2018-11-12,127,289
1104,2020-01-26,2020-02-08,13,5486,2018-06-30,2018-10-08,104,208
1105,2024-11-19,2024-11-28,9,3150,2018-08-19,2018-10-12,119,283
1106,2022-10-14,2022-10-24,10,3470,2018-11-30,2018-08-01,48,118
1107,2021-03-25,2021-04-02,8,888,2018-07-26,2018-08-21,87,359
1108,2018-05-01,2018-05-11,10,1810,2018-12-13,2018-08-16,386,168
1109,2018-04-29,2018-05-10,11,2574,2018-12-14,2018-12-08,15,393
1110,2025-01-03,2025-01-08,5,890,2018-10-16,2018-09-20,287,171
1111,2023-11-23,2023-11-28,5,1630,2018-04-15,2018-09-10,52,243
1112,2023-12-10,2023-12-13,3,384,2018-09-13,2018-05-05,159,261
1113,2023-01-16,2023-01-23,7,2702,2018-03-24,2018-06-06,320,382
1114,2025-01-25,2025-01-28,3,918,2018-04-02,2018-12-04,331,206
1115,2019-07-26,2019-07-27,1,172,2018-03-15,2018-06-18,46,114
1116,2024-02-06,2024-02-15,9,2817,2018-06-25,2018-05-21,60,340
1117,2020-08-16,2020-08-29,13,4550,2018-08-25,2018-04-08,186,283
1118,2021-08-12,2021-08-13,1,236,2018-03-31,2018-07-15,113,395
1119,2018-07-08,2018-07-19,11,1969,2018-12-26,2018-07-29,253,210
1120,2023-12-17,2023-12-24,7,784,2018-08-31,2018-09-24,379,201
1121,2019-12-30,2019-12-31,1,289,2018-10-27,2018-06-04,88,199
1122,2025-02-08,2025-02-15,7,1253,2018-11-14,2018-04-13,371,122
1123,2019-01-05,2019-01-08,3,1041,2018-04-28,2018-09-05,311,118
1124,2024-09-12,2024-09-25,13,2678,2019-02-10,2018-05-07,268,304
1125,2025-01-19,2025-01-20,1,211,2018-10-24,2018-03-08,72,181
1126,2022-06-03,2022-06-04,1,430,2019-01-16,2018-09-06,386,157
1127,2018-04-10,2018-04-25,15,6810,2018-05-21,2019-01-05,298,355
1128,2019-05-22,2019-05-24,2,320,2018-09-03,2018-06-13,47,244
1129,2021-03-01,2021-03-04,3,783,2018-05-11,2018-07-28,116,360
1130,2020-05-14,2020-05-22,8,1952,2018-08-04,2018-04-27,28,377
1131,2023-06-30,2023-07-10,10,4450,2018-03-08,2018-03-12,224,262
1132,2021-03-10,2021-03-12,2,292,2018-08-28,2018-05-23,181,345
1133,2023-01-13,2023-01-20,7,1624,2018-08-17,2018-06-26,194,291
1134,2025-01-05,2025-01-13,8,1024,2019-02-23,2018-11-14,311,261
1135,2018-09-16,2018-09-18,2,448,2018-06-09,2018-09-06,205,230
1136,2019-11-27,2019-12-09,12,4260,2018-11-14,2018-11-30,210,139
1137,2019-02-25,2019-03-12,15,4335,2018-04-10,2018-04-13,293,177
1138,2022-11-17,2022-12-01,14,3234,2018-07-08,2018-12-11,93,327
1139,2021-10-29,2021-11-08,10,2450,2019-02-19,2018-12-01,12,149
1140,2023-10-19,2023-11-03,15,5610,2018-12-17,2018-07-15,249,233
1141,2019-04-24,2019-05-09,15,4470,2018-08-13,2018-03-15,323,249
1142,2022-12-30,2023-01-03,4,1168,2018-08-10,2019-01-04,348,142
1143,2019-09-14,2019-09-15,1,179,2018-08-23,2018-11-07,394,210
1144,2020-12-22,2020-12-25,3,1452,2018-05-23,2018-03-27,334,164
1145,2024-08-03,2024-08-04,1,225,2018-04-09,2019-02-01,157,216
1146,2020-07-12,2020-07-18,6,2868,2019-01-22,2018-07-09,138,254
1147,2020-04-28,2020-05-13,15,6330,2018-11-25,2018-09-24,357,110
1148,2023-02-25,2023-03-03,6,2916,2018-07-30,2018-07-10,61,321
1149,2019-10-01,2019-10-03,2,670,2018-12-25,2018-12-12,223,369
1150,2020-03-19,2020-03-23,4,1400,2018-03-31,2019-02-22,246,159
1151,2023-10-06,2023-10-19,13,3770,2018-10-10,2019-01-22,324,333
1152,2018-04-29,2018-05-09,10,1510,2018-08-25,2018-03-31,231,334
1153,2021-08-17,2021-08-23,6,2916,2018-04-17,2018-07-19,173,161
1154,2022-12-13,2022-12-15,2,402,2018-12-23,2018-06-04,311,212
1155,2024-10-08,2024-10-15,7,2520,2018-09-13,2018-04-20,173,239
1156,2023-10-29,2023-11-06,8,1928,2019-03-05,2018-08-21,368,190
1157,2019-09-25,2019-09-28,3,867,2018-08-04,2019-01-11,308,255
1158,2022-05-16,2022-05-27,11,2035,2018-12-05,2018-09-24,80,374
1159,2022-08-19,2022-08-27,8,1336,2018-05-02,2018-05-15,213,134
1160,2021-01-14,2021-01-26,12,2832,2018-06-14,2018-03-26,389,395
1161,2023-09-05,2023-09-09,4,1996,2018-03-19,2018-04-26,20,167
1162,2018-06-14,2018-06-18,4,1512,2018-07-28,2019-02-25,67,188
1163,2024-05-28,2024-05-30,2,664,2018-08-08,2018-05-03,73,150
1164,2018-10-11,2018-10-15,4,964,2018-08-03,2018-05-10,238,376
1165,2018-06-13,2018-06-28,15,1680,2018-04-28,2018-10-25,271,201
1166,2023-10-09,2023-10-18,9,1251,2018-06-06,2018-04-13,358,289
1167,2021-07-22,2021-08-03,12,4776,2018-08-20,2018-06-15,98,117
1168,2025-01-04,2025-01-05,1,422,2018-03-08,2019-01-21,186,110
1169,2018-10-11,2018-10-23,12,4728,2018-11-15,2018-12-24,114,371
1170,2019-03-24,2019-03-31,7,1183,2018-12-28,2018-05-31,76,363
1171,2018-11-27,2018-11-28,1,184,2019-02-16,2018-09-17,46,252
1172,2021-08-05,2021-08-10,5,690,2018-05-29,2018-05-29,57,264
1173,2018-06-15,2018-06-16,1,269,2018-11-06,2018-12-15,257,330
1174,2019-09-24,2019-09-28,4,764,2018-09-17,2018-10-12,158,246
1175,2018-06-22,2018-06-23,1,110,2018-06-20,2018-03-20,226,129
1176,2022-02-22,2022-03-06,12,4416,2019-02-15,2018-12-20,292,373
1177,2024-07-09,2024-07-17,8,3752,2018-06-10,2018-11-01,235,350
1178,2020-11-05,2020-11-13,8,3256,2019-01-23,2018-10-31,313,207
1179,2021-03-08,2021-03-12,4,1780,2018-10-02,2019-01-17,295,262
1180,2023-03-15,2023-03-23,8,3752,2019-02-03,2018-05-05,1,350
1181,2023-09-11,2023-09-13,2,316,2018-08-05,2018-03-27,250,319
1182,2023-09-29,2023-10-11,12,2832,2018-04-05,2018-04-06,111,395
1183,2024-08-05,2024-08-20,15,6450,2018-04-09,2018-08-28,365,157
1184,2019-02-17,2019-02-20,3,474,2018-09-10,2018-09-15,241,319
1185,2021-07-07,2021-07-09,2,334,2019-01-18,2018-05-23,160,134
1186,2019-11-06,2019-11-21,15,3285,2018-04-19,2018-11-22,260,349
1187,2023-08-17,2023-08-23,6,870,2019-02-19,2019-01-26,86,389
1188,2021-08-29,2021-09-05,7,1015,2018-09-02,2018-12-04,305,116
1189,2020-04-01,2020-04-06,5,700,2018-08-02,2018-07-05,178,370
1190,2023-11-01,2023-11-11,10,2620,2018-10-09,2019-02-16,398,155
1191,2024-04-18,2024-04-23,5,735,2018-10-12,2018-03-27,196,265
1192,2019-11-26,2019-12-10,14,3178,2018-09-16,2018-10-08,96,332
1193,2023-01-26,2023-01-27,1,132,2018-12-18,2019-03-03,373,274
1194,2024-08-20,2024-08-28,8,1688,2019-01-03,2019-02-24,224,174
1195,2018-04-05,2018-04-13,8,2896,2018-03-08,2018-10-25,328,386
1196,2018-11-27,2018-12-03,6,996,2018-09-19,2019-02-11,253,145
1197,2019-10-07,2019-10-18,11,4268,2018-06-12,2018-08-27,23,318
1198,2021-07-02,2021-07-05,3,945,2018-04-28,2019-01-31,271,307
1199,2018-10-23,2018-11-01,9,1323,2018-04-13,2018-12-08,109,265
1200,2022-11-13,2022-11-25,12,3528,2018-04-07,2018-09-04,252,273
1201,2023-10-26,2023-11-01,6,1734,2018-11-11,2018-08-29,132,214
1202,2018-08-01,2018-08-05,4,1328,2018-05-17,2018-04-03,154,150
1203,2020-06-29,2020-07-13,14,3318,2018-09-25,2018-10-31,86,276
1204,2018-06-28,2018-07-11,13,1586,2018-03-21,2018-07-16,75,392
1205,2024-12-12,2024-12-20,8,1608,2018-11-12,2018-08-29,107,212
1206,2023-09-23,2023-10-03,10,1930,2018-06-17,2018-06-13,131,147
1207,2020-08-11,2020-08-15,4,864,2018-06-15,2018-06-29,358,105
1208,2023-05-11,2023-05-19,8,1432,2018-10-16,2018-08-30,195,122
1209,2018-12-11,2018-12-22,11,3718,2018-11-07,2018-09-06,158,347
1210,2022-08-24,2022-09-04,11,3465,2018-10-17,2018-04-24,186,308
1211,2018-09-10,2018-09-25,15,6150,2018-07-25,2018-10-02,297,204
1212,2021-06-23,2021-06-24,1,206,2018-06-03,2019-01-19,154,304
1213,2021-05-10,2021-05-12,2,632,2018-09-24,2018-11-07,392,152
1214,2024-09-24,2024-10-03,9,3852,2018-05-22,2018-09-03,287,323
1215,2024-10-18,2024-10-28,10,3940,2018-03-20,2018-07-27,399,371
1216,2022-04-14,2022-04-17,3,822,2018-05-25,2018-04-19,33,290
1217,2021-06-16,2021-06-23,7,2646,2018-12-22,2019-01-18,62,188
1218,2019-01-12,2019-01-23,11,5346,2018-05-04,2018-06-18,24,321
1219,2019-04-05,2019-04-17,12,5328,2018-10-22,2018-10-18,305,303
1220,2024-12-10,2024-12-14,4,1536,2018-03-19,2018-06-17,232,331
1221,2024-03-25,2024-04-09,15,5250,2018-04-30,2018-07-11,337,283
1222,2024-11-09,2024-11-16,7,1351,2018-05-09,2018-07-28,224,124
1223,2018-06-12,2018-06-14,2,832,2018-07-04,2018-04-06,327,301
1224,2021-10-29,2021-11-09,11,2046,2018-07-28,2019-02-09,150,339
1225,2019-04-14,2019-04-28,14,4970,2018-09-09,2018-03-16,4,139
1226,2019-04-07,2019-04-08,1,472,2018-05-01,2019-01-26,394,166
1227,2020-02-05,2020-02-07,2,650,2019-02-04,2018-12-06,134,160
1228,2023-05-04,2023-05-13,9,3870,2018-08-07,2018-05-05,190,157
1229,2023-07-15,2023-07-27,12,2832,2018-05-17,2018-08-19,391,395
1230,2024-08-15,2024-08-23,8,3704,2018-05-12,2018-11-14,107,366
1231,2018-11-27,2018-12-07,10,2240,2018-06-03,2018-04-26,373,230
1232,2020-09-16,2020-09-29,13,5018,2018-11-28,2019-02-01,317,382
1233,2018-11-25,2018-12-02,7,2128,2018-04-06,2018-05-11,24,306
1234,2020-10-29,2020-11-12,14,2058,2018-03-21,2018-08-29,8,225
1235,2023-09-24,2023-10-08,14,3724,2018-12-23,2018-11-03,19,388
1236,2022-07-21,2022-07-30,9,3969,2018-05-06,2018-04-01,38,253
1237,2023-08-28,2023-09-12,15,4830,2018-09-06,2018-09-01,311,305
1238,2024-05-01,2024-05-06,5,1860,2018-10-28,2019-01-09,378,245
1239,2024-02-19,2024-03-02,12,1536,2018-07-29,2019-02-21,292,123
1240,2019-10-27,2019-11-04,8,2304,2018-12-17,2019-02-09,100,368
1241,2020-08-16,2020-08-21,5,1065,2018-05-16,2018-07-23,272,179
1242,2020-04-28,2020-05-05,7,2758,2018-06-14,2018-10-27,332,371
1243,2018-08-06,2018-08-17,11,4048,2018-03-18,2018-05-19,246,373
1244,2021-10-06,2021-10-20,14,6202,2018-10-21,2018-05-19,383,309
1245,2020-04-22,2020-04-28,6,666,2018-06-16,2019-01-27,266,359
1246,2020-02-05,2020-02-19,14,5950,2018-03-27,2018-10-15,20,169
1247,2024-11-19,2024-11-29,10,3810,2018-11-22,2019-01-09,182,322
1248,2019-03-25,2019-03-26,1,232,2018-03-10,2018-10-18,154,291
1249,2024-03-17,2024-03-28,11,4675,2018-07-01,2018-05-15,358,154
1250,2019-06-22,2019-06-28,6,1074,2018-06-20,2018-09-05,33,210
1251,2020-06-21,2020-06-27,6,1794,2018-09-02,2018-08-18,384,358
1252,2023-08-14,2023-08-16,2,664,2018-07-09,2019-02-15,168,150
1253,2018-11-19,2018-11-25,6,2304,2018-03-29,2019-02-14,380,331
1254,2023-12-10,2023-12-11,1,110,2018-05-12,2018-09-12,64,129
1255,2020-05-20,2020-05-21,1,377,2018-06-16,2018-09-16,123,187
1256,2022-09-06,2022-09-19,13,4888,2018-09-18,2018-04-28,317,317
1257,2023-01-21,2023-01-26,5,695,2019-02-15,2018-04-12,251,391
1258,2023-03-28,2023-04-10,13,6292,2018-06-17,2018-12-29,142,165
1259,2019-12-27,2019-12-31,4,676,2018-10-23,2018-11-23,119,363
1260,2018-05-27,2018-06-11,15,4035,2019-02-08,2018-11-10,348,330
1261,2024-08-20,2024-08-28,8,1648,2018-12-26,2019-02-22,267,304
1262,2025-01-13,2025-01-18,5,1190,2018-03-15,2018-04-02,251,224
1263,2024-04-23,2024-04-29,6,2604,2018-11-21,2018-11-06,391,380
1264,2024-04-20,2024-04-28,8,1816,2019-01-22,2019-01-20,290,133
1265,2019-03-06,2019-03-19,13,1898,2019-02-19,2018-09-08,292,345
1266,2018-05-12,2018-05-22,10,4070,2019-01-10,2018-08-08,207,279
1267,2019-03-21,2019-03-24,3,1266,2019-01-09,2018-08-13,15,208
1268,2022-04-19,2022-04-20,1,139,2018-06-09,2018-04-19,346,391
1269,2022-02-07,2022-02-18,11,2321,2018-10-21,2018-09-06,368,181
1270,2024-12-19,2024-12-23,4,1192,2018-09-17,2018-03-27,228,249
1271,2023-03-22,2023-04-03,12,3636,2019-01-08,2018-03-31,37,127
1272,2018-04-27,2018-05-10,13,3042,2018-10-27,2019-02-13,162,178
1273,2022-01-09,2022-01-19,10,3970,2018-06-04,2018-04-27,54,102
1274,2022-01-02,2022-01-07,5,1160,2018-05-29,2019-02-10,217,291
1275,2023-07-03,2023-07-14,11,3179,2018-07-20,2018-04-28,135,214
1276,2022-07-21,2022-07-26,5,1305,2018-04-01,2018-09-26,264,360
1277,2021-10-24,2021-10-28,4,1524,2018-11-23,2018-07-20,71,322
1278,2024-09-26,2024-09-30,4,1876,2018-07-16,2018-06-07,151,357
1279,2022-05-21,2022-05-29,8,1432,2018-10-05,2018-11-04,106,210
1280,2022-07-16,2022-07-23,7,2639,2018-08-21,2019-02-19,384,187
1281,2019-03-29,2019-04-07,9,1611,2018-11-07,2018-03-29,112,103
1282,2018-11-20,2018-11-26,6,960,2018-09-09,2018-09-27,310,244
1283,2024-08-21,2024-08-23,2,488,2018-07-06,2019-01-28,137,364
1284,2023-09-19,2023-09-25,6,1446,2018-03-08,2018-11-11,320,190
1285,2020-12-18,2020-12-28,10,1790,2019-02-10,2018-05-08,395,210
1286,2022-08-23,2022-08-31,8,3640,2018-03-19,2018-03-26,269,248
1287,2021-02-21,2021-03-04,11,3465,2018-12-13,2019-01-30,399,307
1288,2020-01-12,2020-01-17,5,580,2018-08-23,2018-08-10,89,343
1289,2022-05-30,2022-06-14,15,3360,2018-11-02,2018-05-07,23,230
1290,2022-11-07,2022-11-10,3,1182,2018-10-17,2018-10-03,300,371
1291,2018-04-05,2018-04-06,1,473,2018-09-25,2019-01-30,88,396
1292,2024-03-06,2024-03-08,2,870,2018-07-24,2018-11-08,388,337
1293,2020-03-28,2020-04-07,10,4100,2018-08-29,2018-08-30,56,204
1294,2018-06-14,2018-06-28,14,5530,2018-06-21,2018-08-17,361,217
1295,2023-10-07,2023-10-15,8,2616,2018-05-28,2018-06-12,309,361
1296,2024-09-07,2024-09-09,2,260,2019-02-14,2018-03-15,285,234
1297,2021-01-31,2021-02-15,15,7305,2018-03-15,2018-12-18,291,221
1298,2018-09-26,2018-10-06,10,3110,2018-03-09,2018-08-01,34,111
1299,2023-09-06,2023-09-21,15,5250,2018-04-24,2018-08-25,155,300
1300,2021-12-13,2021-12-26,13,2990,2018-10-16,2018-10-20,386,344
1301,2022-12-05,2022-12-19,14,4270,2018-10-28,2019-01-21,109,277
1302,2024-02-05,2024-02-08,3,723,2018-05-17,2018-06-29,282,376
1303,2021-09-16,2021-10-01,15,5520,2018-07-15,2019-02-21,233,195
1304,2018-03-27,2018-04-01,5,1930,2018-03-29,2018-07-30,155,382
1305,2021-03-11,2021-03-26,15,4890,2019-01-29,2018-05-27,97,243
1306,2020-05-22,2020-05-26,4,1528,2018-05-04,2018-07-29,74,158
1307,2023-06-06,2023-06-15,9,4050,2018-08-24,2019-01-08,222,379
1308,2019-02-04,2019-02-11,7,2023,2018-04-01,2018-06-03,347,255
1309,2020-08-23,2020-09-04,12,4416,2018-04-22,2018-05-30,107,195
1310,2023-06-16,2023-06-21,5,640,2018-12-12,2018-08-22,305,261
1311,2022-11-24,2022-12-06,12,5832,2018-04-10,2019-02-25,356,329
1312,2022-05-29,2022-06-04,6,1602,2018-03-29,2018-10-24,96,293
1313,2023-02-20,2023-02-27,7,875,2018-03-29,2018-06-08,397,222
1314,2018-04-07,2018-04-10,3,354,2018-10-01,2018-05-03,222,140
1315,2018-10-07,2018-10-20,13,1664,2018-08-01,2018-05-17,191,123
1316,2018-04-21,2018-04-27,6,738,2018-06-05,2018-09-05,273,341
1317,2020-12-02,2020-12-12,10,1420,2018-05-16,2018-10-19,32,384
1318,2022-08-08,2022-08-17,9,1557,2019-01-25,2018-03-23,245,287
1319,2021-07-04,2021-07-09,5,1495,2018-05-08,2018-06-07,311,358
1320,2023-11-21,2023-12-04,13,1599,2018-12-05,2018-07-06,373,192
1321,2025-02-25,2025-03-08,11,1452,2018-10-19,2018-04-26,332,274
1322,2024-03-02,2024-03-16,14,5978,2018-12-25,2018-06-23,340,399
1323,2023-12-02,2023-12-17,15,5565,2018-09-02,2018-09-16,145,272
1324,2021-11-14,2021-11-26,12,2136,2018-06-08,2018-03-26,168,171
1325,2021-06-14,2021-06-16,2,868,2018-09-29,2019-02-16,247,198
1326,2024-08-02,2024-08-17,15,2580,2018-12-07,2018-07-25,98,114
1327,2023-02-24,2023-03-11,15,4335,2019-01-13,2018-09-11,353,199
1328,2023-09-06,2023-09-08,2,670,2018-08-12,2018-10-11,305,315
1329,2024-12-16,2024-12-18,2,522,2019-01-26,2018-12-16,87,360
1330,2023-10-26,2023-10-29,3,975,2019-01-20,2018-11-16,292,160
1331,2022-06-24,2022-06-26,2,794,2018-05-25,2019-01-20,374,102
1332,2023-12-13,2023-12-27,14,1540,2018-07-06,2018-07-04,98,129
1333,2019-07-14,2019-07-29,15,2685,2018-06-20,2018-07-21,97,210
1334,2024-09-20,2024-09-30,10,1110,2018-08-03,2018-04-02,245,359
1335,2021-10-11,2021-10-20,9,3393,2018-09-04,2018-04-14,1,187
1336,2022-11-15,2022-11-23,8,2728,2018-04-16,2018-09-25,376,247
1337,2018-05-21,2018-06-04,14,6818,2018-12-30,2018-12-03,163,221
1338,2018-04-30,2018-05-06,6,2304,2018-07-07,2018-08-22,236,200
1339,2022-07-21,2022-07-31,10,3030,2019-02-02,2018-11-23,55,127
1340,2022-07-27,2022-07-31,4,1700,2018-06-21,2019-01-01,148,338
1341,2022-01-08,2022-01-18,10,2520,2019-01-16,2018-04-18,358,135
1342,2023-06-01,2023-06-15,14,2982,2018-03-18,2018-08-30,78,179
1343,2024-10-16,2024-10-23,7,2436,2018-03-10,2018-08-13,257,232
1344,2023-06-27,2023-07-06,9,3753,2018-06-12,2018-04-11,315,115
1345,2023-05-25,2023-06-03,9,1611,2018-11-22,2018-08-02,46,210
1346,2025-02-08,2025-02-10,2,632,2018-10-28,2018-07-09,26,152
1347,2022-11-04,2022-11-17,13,6331,2018-07-20,2018-04-07,124,221
1348,2024-08-16,2024-08-31,15,2760,2018-09-25,2018-10-27,349,240
1349,2022-01-13,2022-01-19,6,2106,2018-10-07,2018-10-27,254,271
1350,2023-12-10,2023-12-25,15,2895,2018-05-13,2019-03-02,57,147
