id,date_in,date_out,total_nights,total_price,createdAt,updatedAt,guestId,roomsId
2172,2019-03-10,2019-03-20,10,3500,2018-03-18,2018-12-01,276,300
2173,2019-03-14,2019-03-22,8,2416,2018-12-15,2019-03-09,363,383
2174,2019-03-14,2019-03-24,10,2440,2019-02-11,2019-02-18,321,364
2175,2019-03-11,2019-03-17,6,2406,2018-03-23,2019-01-18,159,282
2176,2019-03-10,2019-03-23,13,6097,2018-10-31,2019-01-10,289,357
2177,2019-03-11,2019-03-14,3,708,2018-05-17,2018-08-30,20,196
2178,2019-03-10,2019-03-13,3,1023,2019-03-01,2018-10-28,131,278
2179,2019-03-17,2019-03-25,8,2312,2018-11-13,2018-10-30,44,214
2180,2019-03-17,2019-03-26,9,1566,2018-08-07,2018-09-04,399,260
2181,2019-03-10,2019-03-16,6,2442,2019-01-04,2018-08-27,6,207
2182,2019-03-10,2019-03-19,9,2079,2019-01-03,2018-05-07,369,186
2183,2019-03-16,2019-03-31,15,4110,2018-11-23,2018-07-22,175,215
2184,2019-03-10,2019-03-17,7,896,2018-11-26,2018-06-07,213,261
2185,2019-03-13,2019-03-25,12,3168,2019-02-24,2018-10-07,205,138
2186,2019-03-14,2019-03-19,5,1245,2019-01-05,2018-08-22,22,227
2187,2019-03-13,2019-03-16,3,1431,2018-07-04,2018-10-21,160,241
2188,2019-03-10,2019-03-22,12,3660,2018-07-16,2018-12-09,284,277
2189,2019-03-14,2019-03-28,14,2604,2018-04-07,2018-05-19,261,339
2190,2019-03-12,2019-03-16,4,844,2018-06-25,2019-01-01,264,181
2191,2019-03-11,2019-03-15,4,1388,2018-05-16,2018-04-02,286,118
2192,2019-03-16,2019-03-28,12,3240,2018-05-01,2019-03-07,367,352
2193,2019-03-14,2019-03-28,14,3304,2018-08-28,2018-06-29,299,196
2194,2019-03-10,2019-03-14,4,972,2018-11-07,2018-05-12,383,148
2195,2019-03-10,2019-03-14,4,1284,2018-09-11,2018-10-28,272,256
2196,2019-03-10,2019-03-21,11,2343,2018-11-20,2019-01-11,356,328
2197,2019-03-14,2019-03-17,3,1284,2018-05-29,2018-10-19,235,323
2198,2019-03-14,2019-03-22,8,1872,2018-03-24,2018-06-17,286,393
2199,2019-03-17,2019-03-29,12,4200,2018-12-02,2018-12-08,336,159
2200,2019-03-15,2019-03-25,10,4160,2018-08-31,2018-11-10,387,301
2201,2019-03-11,2019-03-16,5,1180,2018-05-31,2018-08-03,244,395
2202,2019-03-15,2019-03-25,10,2250,2018-11-04,2019-02-04,222,216
2203,2019-03-15,2019-03-18,3,1044,2018-03-16,2018-12-23,31,232
2204,2019-03-10,2019-03-13,3,1365,2018-07-15,2018-09-04,156,258
2205,2019-03-12,2019-03-26,14,4116,2018-11-05,2018-09-22,29,273
2206,2019-03-15,2019-03-29,14,4578,2018-05-03,2018-07-30,78,361
2207,2019-03-16,2019-03-25,9,2268,2018-10-12,2018-05-23,314,135
2208,2019-03-16,2019-03-23,7,1197,2019-01-15,2018-09-18,314,128
2209,2019-03-15,2019-03-26,11,2783,2018-06-29,2018-03-14,386,121
2210,2019-03-13,2019-03-15,2,454,2018-11-23,2018-07-22,362,332
2211,2019-03-15,2019-03-23,8,3128,2018-06-16,2018-09-25,399,228
2212,2019-03-11,2019-03-24,13,1794,2018-12-19,2018-06-19,157,264
2213,2019-03-15,2019-03-23,8,2600,2019-02-03,2018-04-26,365,160
2214,2019-03-17,2019-04-01,15,5250,2018-08-10,2018-09-16,129,300
2215,2019-03-13,2019-03-21,8,2520,2018-12-24,2018-12-29,284,307
2216,2019-03-12,2019-03-25,13,1846,2019-02-23,2018-09-17,215,284
2217,2019-03-13,2019-03-22,9,2601,2018-07-03,2018-07-15,178,214
2218,2019-03-10,2019-03-17,7,3185,2018-11-25,2018-10-01,302,248
2219,2019-03-10,2019-03-15,5,1055,2018-08-10,2018-07-18,68,174
2220,2019-03-11,2019-03-22,11,5445,2019-03-09,2018-04-25,25,175
2221,2019-03-17,2019-03-21,4,924,2019-01-18,2018-06-28,225,186
2222,2019-03-17,2019-03-30,13,4069,2018-04-23,2018-04-17,375,340
2223,2019-03-12,2019-03-17,5,1015,2018-10-12,2019-03-01,325,146
2224,2019-03-10,2019-03-14,4,1700,2018-12-16,2018-09-07,248,154
2225,2019-03-12,2019-03-25,13,1690,2018-09-04,2019-02-26,258,234
2226,2019-03-10,2019-03-15,5,925,2018-07-02,2019-02-07,247,374
2227,2019-03-15,2019-03-30,15,1650,2018-11-10,2018-08-11,8,129
2228,2019-03-12,2019-03-24,12,5988,2018-03-23,2018-05-16,353,167
2229,2019-03-15,2019-03-19,4,640,2018-09-09,2018-08-19,227,244
2230,2019-03-10,2019-03-15,5,1885,2018-10-25,2019-01-23,269,187
2231,2019-03-11,2019-03-25,14,2240,2018-08-10,2019-01-09,137,244
2232,2019-03-17,2019-03-21,4,696,2019-01-17,2018-10-21,281,260
2233,2019-03-12,2019-03-18,6,1404,2018-09-07,2018-05-23,28,178
2234,2019-03-10,2019-03-23,13,3289,2018-05-23,2018-05-09,303,121
2235,2019-03-12,2019-03-27,15,3540,2018-09-26,2018-07-11,364,196
2236,2019-03-17,2019-03-20,3,981,2018-05-23,2018-04-26,152,361
2237,2019-03-11,2019-03-19,8,2088,2018-06-13,2018-06-12,345,360
2238,2019-03-11,2019-03-18,7,826,2018-06-11,2018-09-29,122,140
2239,2019-03-15,2019-03-29,14,3178,2019-01-17,2018-09-11,366,332
2240,2019-03-10,2019-03-24,14,3374,2019-01-31,2018-08-07,61,376
2241,2019-03-11,2019-03-19,8,1400,2019-02-02,2018-07-20,271,320
2242,2019-03-17,2019-03-20,3,957,2018-05-26,2018-12-07,178,156
2243,2019-03-13,2019-03-23,10,2270,2018-04-08,2018-09-16,2,133
2244,2019-03-12,2019-03-17,5,1880,2018-03-19,2018-12-05,285,269
2245,2019-03-12,2019-03-21,9,1440,2018-10-24,2018-11-26,350,244
2246,2019-03-12,2019-03-26,14,5208,2018-10-22,2018-06-08,371,245
2247,2019-03-16,2019-03-24,8,3072,2019-01-01,2019-02-26,337,200
2248,2019-03-14,2019-03-19,5,570,2018-12-24,2018-06-16,82,143
2249,2019-03-15,2019-03-23,8,888,2018-07-21,2018-05-31,29,359
2250,2019-03-11,2019-03-21,10,1300,2019-02-27,2018-06-24,148,234
2251,2019-03-11,2019-03-20,9,4356,2019-01-04,2018-11-02,390,164
2252,2019-03-14,2019-03-26,12,4392,2019-01-01,2018-05-02,79,101
2253,2019-03-17,2019-03-25,8,3400,2019-03-05,2018-09-20,1,312
2254,2019-03-12,2019-03-27,15,6480,2018-04-17,2018-07-04,146,281
2255,2019-03-16,2019-03-26,10,1970,2018-09-12,2018-07-19,188,251
2256,2019-03-11,2019-03-17,6,2988,2018-04-11,2019-02-03,169,257
2257,2019-03-17,2019-03-27,10,2310,2018-07-21,2018-06-16,398,327
2258,2019-03-13,2019-03-28,15,3465,2018-07-21,2019-01-10,131,327
2259,2019-03-14,2019-03-23,9,3150,2019-02-04,2018-11-07,372,295
2260,2019-03-13,2019-03-15,2,232,2019-03-09,2019-02-04,264,343
2261,2019-03-11,2019-03-15,4,716,2018-11-14,2019-02-04,377,103
2262,2019-03-14,2019-03-19,5,1750,2018-10-25,2018-07-16,266,300
2263,2019-03-12,2019-03-27,15,5220,2018-06-03,2018-11-14,233,232
2264,2019-03-13,2019-03-26,13,1807,2019-02-06,2019-01-15,263,391
2265,2019-03-17,2019-03-29,12,3264,2018-09-14,2018-10-02,249,220
2266,2019-03-12,2019-03-24,12,4092,2019-01-04,2018-09-10,70,247
2267,2019-03-17,2019-03-27,10,3980,2018-12-13,2018-10-23,253,117
2268,2019-03-13,2019-03-15,2,454,2019-01-15,2018-07-16,280,133
2269,2019-03-10,2019-03-21,11,2959,2018-07-01,2019-02-05,31,330
2270,2019-03-12,2019-03-19,7,3234,2018-11-23,2018-10-29,305,183
2271,2019-03-16,2019-03-27,11,2233,2018-11-21,2018-08-18,14,146
2272,2019-03-17,2019-03-29,12,1536,2018-08-08,2019-03-08,54,123
2273,2019-03-12,2019-03-15,3,1053,2018-09-17,2018-09-21,69,271
2274,2019-03-12,2019-03-23,11,5203,2019-01-29,2018-06-22,385,396
2275,2019-03-17,2019-03-25,8,3328,2018-12-10,2018-09-07,347,193
2276,2019-03-12,2019-03-24,12,3456,2018-10-30,2018-07-05,200,368
2277,2019-03-14,2019-03-20,6,1092,2018-12-23,2018-04-21,113,226
2278,2019-03-11,2019-03-14,3,867,2019-01-08,2019-01-30,154,214
2279,2019-03-17,2019-03-30,13,5421,2019-02-12,2018-08-15,75,115
2280,2019-03-16,2019-03-26,10,1780,2018-07-19,2019-02-07,37,171
2281,2019-03-12,2019-03-20,8,2016,2019-01-20,2018-06-23,222,141
2282,2019-03-15,2019-03-25,10,4720,2018-11-04,2018-09-09,178,166
2283,2019-03-13,2019-03-17,4,1152,2018-08-10,2018-08-11,193,375
2284,2019-03-12,2019-03-15,3,1458,2018-03-15,2019-01-17,264,356
2285,2019-03-13,2019-03-26,13,4186,2018-04-20,2018-04-21,302,203
2286,2019-03-11,2019-03-20,9,1611,2018-06-01,2018-09-05,251,103
2287,2019-03-14,2019-03-23,9,4095,2018-05-30,2018-12-01,112,248
2288,2019-03-10,2019-03-24,14,4046,2018-04-13,2018-09-19,350,255
2289,2019-03-14,2019-03-28,14,2324,2018-10-03,2018-10-10,354,145
2290,2019-03-14,2019-03-17,3,1461,2018-12-28,2019-02-12,219,221
2291,2019-03-13,2019-03-19,6,2664,2018-07-10,2018-04-19,265,303
2292,2019-03-13,2019-03-20,7,735,2018-03-17,2018-05-02,150,106
2293,2019-03-15,2019-03-20,5,1920,2018-07-21,2018-05-22,202,331
2294,2019-03-15,2019-03-27,12,4656,2018-12-10,2018-11-12,385,318
2295,2019-03-11,2019-03-23,12,3456,2019-02-14,2018-08-31,328,326
2296,2019-03-10,2019-03-16,6,1926,2019-01-30,2018-09-15,392,256
2297,2019-03-10,2019-03-14,4,1992,2018-07-22,2019-03-07,355,336
2298,2019-03-14,2019-03-25,11,5203,2018-07-17,2018-04-14,385,396
2299,2019-03-11,2019-03-18,7,3479,2018-12-11,2018-04-13,379,242
2300,2019-03-13,2019-03-25,12,4512,2018-05-27,2019-01-22,81,317
